Group Labels	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5
A0A087WNL7	11474.1	11282.3	11643.9	11380.4	10295	9160.92	9502.6	10262.8	8830.69	8811.47	17884.5	18419.2	17171.4	20689.4	18759.2	12195	12179.4	12448.3	12905.1	13872
A0A087WPH7	30820.8	26099.5	26100	21899.4	12647.9	13000.3	13811.5	17601	21117.6	16041.2	45882.2	26880.2	29827.6	31319	28735.4	21048.6	21009.9	27824.9	23312.3	28987.1
A0A087WQ16	3940.87	3468.04	4029.22	4074.38	3945.08	5428.93	5963.76	5768.15	5495.85	5258.89	5755.49	6140	5701.61	6565.67	5523.4	6456.51	6252.31	7033	6757.87	6734.3
A0A087WQ32	3105.63	2958.71	3181	3436.47	2813.2	2402.61	2231.49	2643.82	2792.94	2108.33	2445.45	2515.12	2573.07	2992.97	3270.87	1870.27	2234.11	3151.96	2610.88	2551.85
A0A087WQH8	24761.3	22779.1	19991.1	23988.7	21811.6	20409.8	17450.8	16773.3	19130.8	12470.5	15126.8	26396.1	26077.9	23304.4	20414.1	13645.8	15457.5	15301.2	14389.4	15566.5
A0A087WQN7	15597.9	14915.6	16650.5	15111.1	15260.2	18220	19931.7	18656.4	18633.6	18601.8	22733.4	22180	20287.6	21790.7	20775.9	20459.6	19026.5	20645.1	19840.5	19611.9
A0A087WRG0	10680.1	11138.1	10217	11034.7	10979.2	11282.3	10457.2	12480.6	12191.9	11678.3	15132.6	14198.5	13233.9	13353.2	12097.7	13436.9	11077.6	14034.4	12935.9	12587.8
A0A087WRI8	1966.19	2496.72	1890.66	2010.77	1949.8	2541.1	2377.44	2482.27	2207.34	2658.72	1870.33	2227.01	1624.57	2210.78	2822.23	2885.91	3907.5	2452.65	3279.24	3863.76
A0A087WSJ7	14255.6	11842.7	10827.6	11472.6	14485.7	8393.65	8859.2	6226.4	7213.55	7827.68	5694.46	7029.18	6204.96	4785.89	5463.29	5991.52	6188.07	7431.38	5266.57	8416.49
A0A087WSK7	1574.41	1025.87	1319.09	1438.2	609.961	468.377	456.047	912.4	629.129	390.805	918.618	1304.11	1463.36	1553.29	1044.87	833.555	207.451	750.385	714.626	652.024
A0A087WSP5	22330.8	20635.1	25576.3	22892.9	19855.7	47847.2	47182	48392.2	60851	60860.9	20315.9	16880.1	14671.8	17218.5	17190.5	17211.2	15181.1	20196.7	17915.4	19204.6
A0A0A0MQE5	3383.89	3249.88	3289.68	3174.34	3086.39	3202.31	3395.43	3290.74	2862.16	2917.48	5165.91	4127.92	3732.36	4237.04	3411.99	4352.05	3625	3776.78	3789.91	3768.89
A0A0A0MQH5	3011.87	2389.09	2987.6	1962.84	3352.27	2890.93	2451	3181.35	1472.38	2064.56	4118.12	3685.5	3760.67	2706.16	2978.06	2857.64	2986.61	2962.5	2285.24	2864.2
A0A0A6YVV8	174909	146988	191764	197112	166362	174330	152336	182180	173454	190977	205312	206663	219305	216642	219890	173004	183065	176711	186025	178241
A0A0A6YWM5	16309.9	14815.5	17274.6	15536.6	14915.3	16538.4	17682.6	16382.2	16185.9	16477.7	22105.9	20756.4	18900.3	19755.5	19077.3	18092.3	16319.7	19051.7	16868.8	17349.4
A0A0A6YWP7	1530.35	1634.48	1627.91			1521.48	1119.28	1608.79		1582.19	1785.16	1429.47	1599.02	1170.02	1667.33	1936.47		1672.14	958.36	1619.33
A0A0A6YWX1	21090.9	20089.4	21942.8	21198.9	18361.5	17888.1	17871	17434.9	19878.2	19960	26078.3	22525.2	20671.5	23989.8	22086.8	15989.2	15628.6	18072.3	15712	16404.2
A0A0A6YX73	28313.9	29465.1	30553	30842.2	26625.3	26123.1	29704.3	29314.2	26781.6	28618.1	34940.7	30015.5	28141.8	31179.9	31001.1	28053.8	32387.9	29774.7	29278.6	32045
A0A0A6YXG1	1306.73	1142.71	1427.04	1599.69	1483.13	1314.8	1320.17	1473.07	1521.26	1582.63	1623.14	1420.12	1537.24	1594.03	1348.83	2037.12	1304.1	2065.74	1695.09	1764.94
A0A0A6YXV0	1641.47	906.36	1118.96	1113.03	917.653	935.781	871.466	988.586	1218.39	1277.36	4618.13	1936.91	1914.42	2574.66	2297.6	1449.56	1319.26	1038.6	1575.12	1488.94
A0A0A6YY64	5567.59	4314.69	6223.53	4797.48	3859.36	8473.38	7051.7	7990.75	8118.11	7481.56	7290.27	6031.71	5050.06	6953.59	5497.24	7345.95	6509.79	7562.1	7702.67	8071.39
