Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Porphyrin and chlorophyll metabolism	7/41	3.32957744558314e-06	0.000642608446997545	0	0	13.0496204933586	164.590493685714	ALAD;ALAS2;FECH;UROD;UROS;BLVRB;PPOX
Lysosome	9/124	0.000162271423109399	0.0148930569991206	0	0	4.97210615471485	43.3877924738912	CLN3;NAGLU;SMPD1;PSAP;PPT1;IDS;ACP5;PPT2;CLN5
Autophagy	9/130	0.000231821127496157	0.0148930569991206	0	0	4.72410647204036	39.5386192736088	GABARAPL2;RRAS;BAD;AKT2;DAPK2;MTMR14;ATG9A;IRS2;SNAP29
Sulfur metabolism	3/9	0.000308664393764158	0.0148930569991206	0	0	31.3328025477707	253.271063427451	MPST;SQOR;SUOX
Mucin type O-glycan biosynthesis	4/28	0.000938901489388214	0.036241597490385	0	0	10.4680511182109	72.9706906760897	C1GALT1C1;C1GALT1;GALNT10;ST3GAL2
FoxO signaling pathway	8/132	0.00122783359775218	0.0394953140610286	0	0	4.08372481469882	27.3711817631228	GABARAPL2;CREBBP;BCL2L11;CDKN1B;AKT2;IRS2;SGK3;FOXO3
Apoptosis	8/141	0.00186829373967984	0.05151152739403	0	0	3.80563058130764	23.9097482930257	SPTA1;CSF2RB2;BCL2L11;DIABLO;BAD;AKT2;CSF2RB;MCL1
Glutathione metabolism	5/64	0.0034427183654499	0.0830555805664788	0	0	5.3302911777488	30.2307138846015	GSTK1;MGST3;GSTT3;GSTT1;GSTM5
Metabolism of xenobiotics by cytochrome P450	5/66	0.00393331636192633	0.0843477842057535	0	0	5.15500210172341	28.5498056090764	GSTK1;MGST3;GSTT3;GSTT1;GSTM5
Riboflavin metabolism	2/8	0.00658327388866593	0.122208419170812	0	0	20.8222222222222	104.594667783135	ACP5;BLVRB
ABC transporters	4/48	0.00696524668849188	0.122208419170812	0	0	5.70403717688063	28.33093878819	ABCB10;ABCB6;ABCA7;ABCG2
Drug metabolism	6/114	0.00966776404228809	0.155489871680134	0	0	3.4967845659164	16.221437514337	CDA;GSTK1;MGST3;GSTT3;GSTT1;GSTM5
Pathways in cancer	16/535	0.0117609220016852	0.174604457409635	0	0	1.9627830161504	8.72059182408134	CREBBP;CDKN1B;ARHGEF12;RALB;BAD;DAPK2;MGST3;GSTT3;CSF2RB;GSTT1;CSF2RB2;CCND3;BCL2L11;CCNE1;AKT2;GSTM5
Chemical carcinogenesis	5/94	0.0169199546334436	0.228262763553927	0	0	3.52816191299337	14.3922954315884	GSTK1;MGST3;GSTT3;GSTT1;GSTM5
Mitophagy	4/63	0.017740629291756	0.228262763553927	0	0	4.25060919477988	17.1380219872864	GABARAPL2;RRAS;ATG9A;FOXO3
Prostate cancer	5/97	0.0191264935681367	0.230713328665649	0	0	3.41259057971015	13.5025316497509	CREBBP;CDKN1B;CCNE1;BAD;AKT2
Insulin signaling pathway	6/139	0.0235462330851232	0.267318999142869	0	0	2.83586780455963	10.6310712371012	PRKAR2B;BAD;AKT2;PDE3B;INPP5K;IRS2
Ferroptosis	3/40	0.0252996154976749	0.271268099502847	0	0	5.07299018763987	18.6532128496263	MAP1LC3B;MAP1LC3A;TFRC
Measles	6/144	0.0273969031094433	0.278294857901187	0	0	2.73241996365161	9.82940345776017	CCND3;CDKN1B;CCNE1;BAD;AKT2;EIF2AK1
Thyroid hormone signaling pathway	5/115	0.0363255010901777	0.348620318766537	0	0	2.85154428904429	9.4535402152195	CREBBP;NCOR1;BAD;AKT2;SLC9A1
Sphingolipid metabolism	3/48	0.040409530128819	0.348620318766537	0	0	4.16942675159236	13.378396370689	NEU3;SMPD1;DEGS1
Glycosaminoglycan degradation	2/21	0.0431365494347161	0.348620318766537	0	0	6.57109440267335	20.6554771246908	NAGLU;IDS
Fatty acid degradation	3/50	0.0447593103067976	0.348620318766537	0	0	3.99159777747662	12.3997220844826	GCDH;ACADVL;ACADSB
Hepatitis B	6/163	0.045733373985291	0.348620318766537	0	0	2.39941016241014	7.40200510643735	MAP2K3;CREBBP;CCNE1;BAD;AKT2;TIRAP
JAK-STAT signaling pathway	6/164	0.0468675686833866	0.348620318766537	0	0	2.38410191704994	7.29637546129133	CSF2RB2;CCND3;CREBBP;AKT2;CSF2RB;MCL1
Proximal tubule bicarbonate reclamation	2/22	0.0469643952742486	0.348620318766537	0	0	6.24222222222222	19.0909971608897	GLS;AQP1
Colorectal cancer	4/88	0.0513059513225728	0.366742540935428	0	0	2.98174349612049	8.85562469330398	RALB;BCL2L11;BAD;AKT2
Hepatocellular carcinoma	6/171	0.0552940864051027	0.380391697584839	0	0	2.28213972522654	6.60699832879359	BAD;AKT2;MGST3;GSTT3;GSTT1;GSTM5
Regulation of lipolysis in adipocytes	3/56	0.0591282431479025	0.380391697584839	0	0	3.53863718303089	10.0074307878557	AKT2;PDE3B;IRS2
Valine, leucine and isoleucine degradation	3/56	0.0591282431479025	0.380391697584839	0	0	3.53863718303089	10.0074307878557	AUH;HMGCS2;ACADSB
Endometrial cancer	3/58	0.0643431201033881	0.391145155218619	0	0	3.40961204400695	9.35435678438536	BAD;AKT2;FOXO3
Lysine degradation	3/59	0.0670275369807228	0.391145155218619	0	0	3.34855550500455	9.04997937653995	GCDH;KMT5C;PRDM2
Glycerophospholipid metabolism	4/97	0.0684410717972812	0.391145155218619	0	0	2.69195094300732	7.21922604063181	PTDSS2;CHKB;LPCAT1;PLD3
Apelin signaling pathway	5/138	0.0689064004012074	0.391145155218619	0	0	2.35564873722768	6.30137500351314	GABARAPL2;RRAS;AKT2;PDE3B;SLC9A1
Cellular senescence	6/185	0.0747265760363746	0.404758573002932	0	0	2.10213943128132	5.45278042022869	MAP2K3;CCND3;RRAS;CCNE1;AKT2;FOXO3
Fatty acid elongation	2/29	0.0768371611803633	0.404758573002932	0	0	4.62222222222222	11.8609313856552	PPT1;PPT2
Fluid shear stress and atherosclerosis	5/143	0.0775962031145517	0.404758573002932	0	0	2.26971850613155	5.80193792999208	AKT2;MGST3;GSTT3;GSTT1;GSTM5
HIF-1 signaling pathway	4/104	0.0835584663328173	0.424389052690362	0	0	2.50261980830671	6.21202465232544	CREBBP;CDKN1B;TFRC;AKT2
Non-small cell lung cancer	3/66	0.0871913851115448	0.431485572475081	0	0	2.975432211101	7.2590124426352	BAD;AKT2;FOXO3
Renal cell carcinoma	3/68	0.0933719033477794	0.450519433653036	0	0	2.88358647721705	6.83745875164073	CREBBP;BAD;AKT2
Bile secretion	3/72	0.106252158245958	0.500162598572438	0	0	2.7158681805594	6.08881393913625	AQP1;ABCG2;SLC9A1
PI3K-Akt signaling pathway	9/357	0.115938338621644	0.50349461692964	0	0	1.62351656963726	3.49818594567504	CCND3;CDKN1B;BCL2L11;CCNE1;BAD;AKT2;SGK3;FOXO3;MCL1
Pancreatic cancer	3/75	0.116341362605399	0.50349461692964	0	0	2.60230891719745	5.59815623773485	RALB;BAD;AKT2
Chronic myeloid leukemia	3/76	0.119781785808746	0.50349461692964	0	0	2.5665299712067	5.44639127163952	CDKN1B;BAD;AKT2
cAMP signaling pathway	6/211	0.119794719699048	0.50349461692964	0	0	1.83307975845032	3.88975064904107	CREBBP;RRAS;BAD;AKT2;PDE3B;SLC9A1
Sulfur relay system	1/8	0.120003898335562	0.50349461692964	0	0	8.89511754068716	18.8597044084845	MPST
Cardiac muscle contraction	3/78	0.126773695534919	0.510211636623416	0	0	2.49783439490446	5.15890653122484	TPM4;COX6B2;SLC9A1
Tight junction	5/167	0.126892013253492	0.510211636623416	0	0	1.93108974358974	3.98657805528594	RAB13;MICALL2;F11R;ACTR3B;LLGL2
Cell cycle	4/123	0.131825758064537	0.519232067478688	0	0	2.10100142293339	4.25720506789116	CCND3;CREBBP;CDKN1B;CCNE1
ErbB signaling pathway	3/84	0.148577831100451	0.555585577890024	0	0	2.31210191082803	4.40836065265816	CDKN1B;BAD;AKT2
Tuberculosis	5/178	0.153325041910649	0.555585577890024	0	0	1.80728471913443	3.38901154744496	CREBBP;ARHGEF12;BAD;AKT2;TIRAP
Epstein-Barr virus infection	6/229	0.15733790271929	0.555585577890024	0	0	1.68356091301025	3.11350943527467	MAP2K3;CCND3;CDKN1B;BCL2L11;CCNE1;AKT2
Viral carcinogenesis	6/229	0.15733790271929	0.555585577890024	0	0	1.68356091301025	3.11350943527467	CREBBP;CCND3;CDKN1B;CCNE1;BAD;HDAC6
MicroRNAs in cancer	7/281	0.160116304482207	0.555585577890024	0	0	1.59951730633388	2.93008349495971	CREBBP;CDKN1B;BCL2L11;CCNE1;IRS2;GLS;MCL1
Synthesis and degradation of ketone bodies	1/11	0.161206178040629	0.555585577890024	0	0	6.2256329113924	11.3622228572604	HMGCS2
Ubiquinone and other terpenoid-quinone biosynthesis	1/11	0.161206178040629	0.555585577890024	0	0	6.2256329113924	11.3622228572604	GGCX
Ether lipid metabolism	2/47	0.170723259642218	0.570628442643231	0	0	2.77079365079365	4.89796351832311	LPCAT1;PLD3
GABAergic synapse	3/90	0.171484195198484	0.570628442643231	0	0	2.15198770041731	3.79452281266698	GABARAPL2;SLC38A5;GLS
Ubiquitin mediated proteolysis	4/138	0.176310141592263	0.57610211320933	0	0	1.86438414953984	3.23565857817163	UBE2H;UBE3B;TRIM32;UBE2J1
Small cell lung cancer	3/92	0.179333597672764	0.57610211320933	0	0	2.10341372647248	3.61473233496368	CDKN1B;CCNE1;AKT2
Amino sugar and nucleotide sugar metabolism	2/49	0.182084087594659	0.57610211320933	0	0	2.65261735900034	4.51816781167879	GNPDA2;FPGT
Amyotrophic lateral sclerosis (ALS)	2/52	0.1993212346339	0.62046771426359	0	0	2.49307936507937	4.02093191879318	MAP2K3;BAD
Toll-like receptor signaling pathway	3/99	0.207520819635994	0.635738383964235	0	0	1.94934315286624	3.06538812943638	MAP2K3;AKT2;TIRAP
Non-alcoholic fatty liver disease (NAFLD)	4/151	0.21837035397136	0.643022459556226	0	0	1.69837647519072	2.58418644163239	BCL2L11;AKT2;IRS2;COX6B2
Glucagon signaling pathway	3/102	0.219893690832699	0.643022459556226	0	0	1.88998262883613	2.86258861723823	CREBBP;AKT2;PDE3B
Longevity regulating pathway	3/102	0.219893690832699	0.643022459556226	0	0	1.88998262883613	2.86258861723823	AKT2;IRS2;FOXO3
VEGF signaling pathway	2/58	0.234288294458173	0.67489016164817	0	0	2.22528344671202	3.22933777861456	BAD;AKT2
Toxoplasmosis	3/108	0.245056019491687	0.695526643557287	0	0	1.78143767060965	2.50517958039652	MAP2K3;BAD;AKT2
Other glycan degradation	1/18	0.25001932400396	0.699329413518322	0	0	3.6608339538347	5.07471051025358	NEU3
Arginine biosynthesis	1/19	0.261917208352307	0.712404236660543	0	0	3.45727848101266	4.63180871840915	GLS
C-type lectin receptor signaling pathway	3/112	0.262076169963205	0.712404236660543	0	0	1.71571320049085	2.29754601961264	ARHGEF12;RRAS;AKT2
Central carbon metabolism in cancer	2/64	0.269571334623216	0.715450191423966	0	0	2.00931899641577	2.63406094193069	AKT2;GLS
Influenza A	4/168	0.276793223422729	0.715450191423966	0	0	1.52100054546871	1.95370168202029	MAP2K3;CREBBP;AKT2;EIF2AK1
cGMP-PKG signaling pathway	4/172	0.290920076144038	0.715450191423966	0	0	1.48448197170242	1.83289983940054	BAD;AKT2;PDE3B;IRS2
Fc epsilon RI signaling pathway	2/68	0.293094033096303	0.715450191423966	0	0	1.88715728715729	2.31603602908468	MAP2K3;AKT2
Acute myeloid leukemia	2/69	0.298961668098532	0.715450191423966	0	0	1.85889599620943	2.24450522207536	BAD;AKT2
Neurotrophin signaling pathway	3/121	0.300833961256485	0.715450191423966	0	0	1.58412501349455	1.90284588143166	BAD;AKT2;FOXO3
Alzheimer disease	4/175	0.301579174412033	0.715450191423966	0	0	1.45821422566	1.74799448733142	BAD;ADAM10;COX6B2;SNCA
Terpenoid backbone biosynthesis	1/23	0.307656526216231	0.715450191423966	0	0	2.82810701956272	3.33369136791256	HMGCS2
Adipocytokine signaling pathway	2/71	0.310672284097187	0.715450191423966	0	0	1.8048309178744	2.10987743181912	AKT2;IRS2
p53 signaling pathway	2/71	0.310672284097187	0.715450191423966	0	0	1.8048309178744	2.10987743181912	CCND3;CCNE1
Sphingolipid signaling pathway	3/124	0.31383379948427	0.715450191423966	0	0	1.5446123072064	1.7900384353784	AKT2;SMPD1;DEGS1
Melanoma	2/72	0.316512858681215	0.715450191423966	0	0	1.77895691609977	2.04649675589239	BAD;AKT2
Prolactin signaling pathway	2/72	0.316512858681215	0.715450191423966	0	0	1.77895691609977	2.04649675589239	AKT2;FOXO3
Vitamin digestion and absorption	1/24	0.318642787150195	0.715450191423966	0	0	2.70500825536599	3.09367626594562	BTD
Inositol phosphate metabolism	2/73	0.322342073157341	0.715450191423966	0	0	1.75381175944556	1.98556387986778	MTMR14;INPP5K
AMPK signaling pathway	3/126	0.322508635512358	0.715450191423966	0	0	1.51934130806276	1.71932516430512	AKT2;IRS2;FOXO3
Renin secretion	2/76	0.339750694902031	0.745135046773773	0	0	1.68245388245388	1.81628161550998	PDE3B;AQP1
Human papillomavirus infection	7/360	0.34575070399311	0.749773998546856	0	0	1.23649821803893	1.31320719469727	CREBBP;CCND3;CDKN1B;CCNE1;BAD;AKT2;LLGL2
Butanoate metabolism	1/27	0.350569740482868	0.751777332368817	0	0	2.39252677702045	2.50783608368445	HMGCS2
Peroxisome	2/84	0.385423457694667	0.81098516239747	0	0	1.51769260549748	1.4469873425737	GSTK1;MPV17L2
Focal adhesion	4/199	0.387684336734639	0.81098516239747	0	0	1.27716883755222	1.21019900241911	CCND3;BAD;AKT2;PARVB
Parkinson disease	3/144	0.400142152551787	0.81098516239747	0	0	1.32416316574062	1.21284793692319	COX6B2;UBE2J1;SNCA
Proteoglycans in cancer	4/203	0.401996923644116	0.81098516239747	0	0	1.25124022669257	1.14026878580646	ARHGEF12;RRAS;AKT2;SLC9A1
SNARE interactions in vesicular transport	1/33	0.410018514990012	0.81098516239747	0	0	1.94333465189873	1.73258576465174	SNAP29
Steroid hormone biosynthesis	2/89	0.413270727829242	0.81098516239747	0	0	1.43010399562124	1.2637148071757	DHRS11;HSD3B1
Adrenergic signaling in cardiomyocytes	3/148	0.417118840321083	0.81098516239747	0	0	1.28737096419943	1.12565671349087	TPM4;AKT2;SLC9A1
Progesterone-mediated oocyte maturation	2/90	0.418765874636691	0.81098516239747	0	0	1.41378066378066	1.23061588805178	AKT2;PDE3B
Phospholipase D signaling pathway	3/149	0.421339265683282	0.81098516239747	0	0	1.27848791553966	1.10501872859242	RALB;RRAS;AKT2
Rap1 signaling pathway	4/209	0.423348478134841	0.81098516239747	0	0	1.21424452583184	1.0437155555806	MAP2K3;RALB;RRAS;AKT2
Gastric cancer	3/150	0.425549445488079	0.81098516239747	0	0	1.26972572468478	1.08482081404232	CDKN1B;CCNE1;AKT2
Fructose and mannose metabolism	1/35	0.428603557329233	0.81098516239747	0	0	1.82883469843634	1.54943062968927	FPGT
Alanine, aspartate and glutamate metabolism	1/37	0.446604938420796	0.836842263254501	0	0	1.72705696202532	1.39214759890418	GLS
Phosphatidylinositol signaling system	2/98	0.461741402042622	0.842368383069351	0	0	1.29543650793651	1.00104892481241	MTMR14;INPP5K
Cushing syndrome	3/159	0.46292328529362	0.842368383069351	0	0	1.19592111709946	0.921091184113914	CDKN1B;CCNE1;HSD3B1
Choline metabolism in cancer	2/99	0.466983061383187	0.842368383069351	0	0	1.28201603665521	0.976206871061338	CHKB;AKT2
Hepatitis C	3/160	0.467012523256065	0.842368383069351	0	0	1.1882429307477	0.90472722314927	BAD;AKT2;EIF2AK1
Glycine, serine and threonine metabolism	1/40	0.4725524621979	0.843812213552722	0	0	1.59396299902629	1.19484503615498	ALAS2
AGE-RAGE signaling pathway in diabetic complications	2/101	0.477375041389343	0.843812213552722	0	0	1.25598845598846	0.928744239246346	CDKN1B;AKT2
Bladder cancer	1/41	0.480929240884971	0.843812213552722	0	0	1.55403481012658	1.13760807121759	DAPK2
Basal transcription factors	1/43	0.497287016143787	0.849850323189805	0	0	1.47988245931284	1.03382801250206	TAF9B
Carbohydrate digestion and absorption	1/43	0.497287016143787	0.849850323189805	0	0	1.47988245931284	1.03382801250206	AKT2
Thermogenesis	4/231	0.499654848718874	0.849850323189805	0	0	1.09532589266865	0.759978421658997	MAP2K3;COA3;NDUFAF7;COX6B2
Mineral absorption	1/44	0.505272166345387	0.849850323189805	0	0	1.44539299381807	0.986709164994215	ATOX1
Ras signaling pathway	4/233	0.506387498273718	0.849850323189805	0	0	1.08564811585306	0.738732621501156	RALB;RRAS;BAD;AKT2
Glycosphingolipid biosynthesis	1/45	0.513130872884157	0.853743607471054	0	0	1.41247123130035	0.942435204159378	ST3GAL2
Insulin resistance	2/110	0.522570047749043	0.854712027250553	0	0	1.15079365079365	0.746860754050955	AKT2;IRS2
TNF signaling pathway	2/110	0.522570047749043	0.854712027250553	0	0	1.15079365079365	0.746860754050955	MAP2K3;AKT2
