	KO_TP_1	KO_TP_2	KO_TP_3	KO_TP_4	KO_TP_5	KO_baseline_1	KO_baseline_2	KO_baseline_3	KO_baseline_4	KO_baseline_5	WT_TP_1	WT_TP_2	WT_TP_3	WT_TP_4	WT_TP_5	WT_baseline_1	WT_baseline_2	WT_baseline_3	WT_baseline_4	WT_baseline_5	WT_baseline_mean	WT_TP_mean	WT_TP_vs_WT_baseline_log2fc	pval	padj	differentially_expressed
Srcap	13.4860933761987	13.4617735838419	13.50728673404	13.474263646146	13.3296562095196	13.1612767752101	13.2141065869377	13.3251367747254	13.1083104542104	13.1051670058281	14.1264221647764	14.1689227818529	14.0677200479354	14.3366041866818	14.1953106839143	13.5740021376835	13.572155442322	13.6036611138886	13.6556537002874	13.7598881832218	13.6330721154807	14.1789959730322	0.545923857551518	1.71941943927104e-05	0.000313204906488534	FALSE
Psmc3	14.9116166891975	14.6717345482438	14.6717621863446	14.4186037229429	13.626610245806	13.6662572953815	13.7535823917626	14.1033697773925	14.3661582623119	13.9694944496024	15.4856469481699	14.7142562519643	14.8643602792007	14.934750528383	14.8105415113398	14.3614366584361	14.3587816748375	14.7640888822195	14.5088037278558	14.8231233864605	14.5632468659619	14.9619111038115	0.398664237849623	0.0476452374128659	0.0906788302604451	FALSE
Msh3	11.9442984438184	11.7599048232071	11.9762848650912	11.9923648252382	11.9458388407774	12.406452166705	12.5420064849768	12.4938929668279	12.4241269134161	12.3605426049996	12.4907230436846	12.5840229402575	12.4771536444731	12.6807265244713	12.4313408946204	12.6565388263216	12.6101735960091	12.7799245019679	12.7223528825507	12.7173122765244	12.6972604166747	12.5327934095014	-0.164467007173355	0.017936659069149	0.0412997761114155	FALSE
Pign	11.6006702441485	11.5307525813747	11.6352646565395	11.7467116495139	11.4579964070805	11.2303867688647	11.1237916261016	11.3684082414066	11.4475688655724	11.0418849828053	11.2558842521023	11.2964115193946	11.3292749905792	11.5473621027336	11.675458705629	10.8690308433005	11.1254845056434	11.6220335110275	11.350320435387	11.3173278133667	11.256839421745	11.4208783140877	0.164038892342711	0.308705570093567	0.408291166512467	FALSE
A0A087WQH8	14.5957994394295	14.4754231269824	14.287070237369	14.5500673565067	14.4128079829715	14.3169744247118	14.0910055552152	14.0338789340016	14.2236095842267	13.6062316901909	13.884819204354	14.6880371679856	14.6705400765123	14.5083147489735	14.3172783441657	13.7361693562209	13.9160193851478	13.9013571805825	13.8127188163065	13.9261569822668	13.8584843441049	14.4137979083982	0.555313564293343	0.0180408654389477	0.041459907542532	FALSE
Xrn1	13.9290641866162	13.8645343927314	14.0232778803709	13.8833210636645	13.8974862497899	14.1532353386894	14.282777144266	14.1873830054384	14.1856188085475	14.1831546097767	14.4725258488488	14.4369717450491	14.3083105855561	14.4114249215888	14.3426233546155	14.3204903191753	14.2157225761038	14.3335117861553	14.2761607630581	14.2594416900817	14.2810654269148	14.3943712911316	0.113305864216803	0.0176718706618279	0.0407685682224168	FALSE
Pfkfb2	13.3826375348922	13.4432155301482	13.3186840219615	13.4297597872009	13.4224853156703	13.4617735838419	13.3522089895591	13.6073996724209	13.5736353543162	13.511542657186	13.8853722643182	13.7934509038662	13.6919506627472	13.7048978945646	13.5624451696939	13.7139127148022	13.4353577299664	13.7766797664831	13.6590928108715	13.6197385413648	13.6409563126976	13.727623379038	0.0866670663404214	0.305159226778905	0.404455728641219	FALSE
X2310022A10Rik	10.9411870258793	11.2858183208814	10.8846742294324	10.9735323544525	10.9291104323262	11.3112374356005	11.2151932165808	11.2774443326346	11.1080931519482	11.3765161341098	10.869077125556	11.1208923209728	10.6658421929814	11.1103397509285	11.4626198510303	11.4948105932998	11.932030157887	11.2601256566371	11.6791457777743	11.9157897676652	11.6563803906527	11.0457542482938	-0.610626142358853	0.0109422942602481	0.0280274253768026	FALSE
X2410002F23Rik	13.7992411412952	13.5317104159671	13.402425876253	13.4859047614903	13.8223417819436	13.0350825913703	13.112960711643	12.6041825468979	12.8164937115278	12.9343690636404	12.4753433237404	12.7791406839266	12.599206194778	12.2245715226839	12.4155542902456	12.5487063341333	12.5952738014364	12.8594144273626	12.362647957142	13.0390029840632	12.6810091008275	12.4987632030749	-0.182245897752585	0.264757460481267	0.360015970798418	FALSE
Gm28778	10.6205955738821	10.0026322064081	10.3653272860401	10.4900485994829	9.25257319162187	8.87152642274314	8.83303870533303	9.83352263642477	9.29721205517613	8.61030511519018	9.84332124271777	10.3488498488334	10.5150690140322	10.6011114914017	10.0291077417796	9.70313358467855	7.69662680139048	9.5514871788195	9.48104459374646	9.34878125859263	9.15621468344553	10.2674918677529	1.11127718430742	0.0363304508479049	0.0728945053775269	FALSE
Stat1	14.4467473161267	14.3328128093727	14.6425199511286	14.4826126100538	14.277265602599	15.5461468807642	15.5259489538904	15.5624869078723	15.8929933513329	15.8932280478735	14.3103216573243	14.0430358303408	13.8407582574981	14.0716718465107	14.0693238869617	14.0710600680778	13.8899887096341	14.301831965469	14.1289126347405	14.2291642947839	14.1241915345411	14.0670222957271	-0.0571692388139518	0.593295674637227	0.677570657905137	FALSE
Camsap1	11.7244669562423	11.6661707330798	11.683731538876	11.6322409465603	11.5917046587923	11.6448972595414	11.7293785747682	11.6841963288914	11.4828886082831	11.5105070506205	12.3348067938391	12.0111992959461	11.8658724308642	12.0488410332669	11.7363977030148	12.087479416236	11.8237652797897	11.8829410329218	11.8879478734027	11.879923973331	11.9124115151362	11.9994234513862	0.0870119362499935	0.462304928163797	0.558391529692287	FALSE
Macf1	11.5564437856139	11.2222454876016	11.5447712879947	10.9387268616361	11.7109226365555	11.4973179609708	11.2591547688668	11.63542338508	10.5239343428539	11.0116186312191	12.0077701546717	11.8476446430833	11.8767739996414	11.4020314249309	11.5401571053485	11.480608464592	11.544293143402	11.532599438673	11.1581299723207	11.4839165206071	11.4399095079189	11.7348754655352	0.294965957616226	0.0647881206067173	0.116070744233592	FALSE
Mbnl1	17.4162449999531	17.1653388536675	17.5489723819865	17.588656083459	17.3439664086834	17.4114613349329	17.2168973938334	17.475005060994	17.4041935852463	17.5430393745619	17.6474584264549	17.6569205927858	17.7425791792571	17.7249534372251	17.7464224702693	17.400445869024	17.4819964646267	17.4310323227673	17.5051369933634	17.4434697063196	17.4524162712202	17.7036668211984	0.251250549978263	2.32338594790795e-05	0.000371379531138872	FALSE
Rab3gap2	13.993460316109	13.854819695376	14.0763646843918	13.9233832011961	13.8645053752688	14.0135320479329	14.1100427997157	13.9998414920817	13.9824499668721	14.0082272610169	14.4321438516431	14.3412686232202	14.2061215137353	14.2699667400838	14.219569381488	14.1430882030791	13.9943269164857	14.2176321159632	14.042069727471	14.0825981500191	14.0959430226036	14.2938140220341	0.197870999430439	0.00869849271173398	0.0237012460866039	FALSE
Rcor3	10.5796459281148	10.674616008615	10.6688052261933	NA	NA	10.5712596542751	10.1283552718972	10.6517603038675	NA	10.6277071433846	10.8018376703236	10.4812646273975	10.6429722683336	10.1923174757137	10.7033239572205	10.9192134358159	NA	10.7074799268478	9.90442388399708	10.6611813041812	10.5480746377105	10.5643431997978	0.016268562087312	0.950200923654567	0.964755988386369	FALSE
Usp19	14.3643330393009	14.2941468560173	14.421460011415	14.3717017855777	14.1643963007285	14.1267125379763	14.1253327444647	14.0896904689341	14.2788995042241	14.2848241002246	14.670562205349	14.4592522952543	14.3353554593648	14.5501335096605	14.4308967915179	13.9648101366975	13.9319009279753	14.1414925043152	13.9395792143147	14.0017776177718	13.9959120802149	14.4892400522293	0.493327972014377	0.000175699924141099	0.00136619540147418	FALSE
Prkar2a	14.7892228615073	14.8467195420315	14.8990264248186	14.9126180571204	14.7005101605151	14.6730384896517	14.858384170496	14.8393120649115	14.708954533009	14.8046402720344	15.0926208909642	14.873420080215	14.7804269884374	14.9283286805891	14.9200317865454	14.7759085824635	14.9831673077689	14.8617993515954	14.8375589502019	14.9678116494064	14.8852491682872	14.9189656853502	0.0337165170630058	0.615091871225554	0.694761466758861	FALSE
Mast4	10.3517453631322	10.1582436036595	10.4788100588541	10.6435766405283	10.5344293437732	10.3606276461929	10.3665080039164	10.5246102732526	10.5710510311856	10.6281082946805	10.6645717260729	10.4717971271317	10.5861267065416	10.6384630660883	10.3974928141107	10.9923152518612	10.3488387861119	11.0124429685285	10.7271461592666	10.7854034238674	10.7732293179271	10.551690287989	-0.221539029938098	0.145404228222154	0.222603700074744	FALSE
Apeh	10.6807726676849	9.82394038249205	10.1279427491863	10.1202767634767	9.84180490788198	9.87002712644041	9.76730056888386	9.94922266546788	10.2507602906531	10.318949463595	12.1730930700988	10.9195412042355	10.9026916586058	11.3301662126083	11.1659119389357	10.5013993351438	10.365513203873	10.0204244152004	10.6212460287096	10.5400699032923	10.4097305772438	11.2982808168968	0.888550239653007	0.0148447086046248	0.0355490402587228	FALSE
