From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A087WNL7	A0A087WNL7	unreviewed	A0A087WNL7_MOUSE	Snf2-related CREBBP activator protein	Srcap	Mus musculus (Mouse)	3210
A0A087WPH7	A0A087WPH7	unreviewed	A0A087WPH7_MOUSE	Proteasome (prosome, macropain) 26S subunit, ATPase 3	Psmc3	Mus musculus (Mouse)	305
A0A087WQ16	A0A087WQ16	unreviewed	A0A087WQ16_MOUSE	DNA mismatch repair protein	Msh3	Mus musculus (Mouse)	1095
A0A087WQ32	A0A087WQ32	unreviewed	A0A087WQ32_MOUSE	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-)	Pign	Mus musculus (Mouse)	826
A0A087WQH8	A0A087WQH8		A0A087WQH8_MOUSE	deleted			
A0A087WQN7	A0A087WQN7	unreviewed	A0A087WQN7_MOUSE	5'-3' exoribonuclease 1 (EC 3.1.13.-)	Xrn1	Mus musculus (Mouse)	1719
A0A087WRG0	A0A087WRG0	unreviewed	A0A087WRG0_MOUSE	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 (EC 2.7.1.105) (EC 3.1.3.46) (6PF-2-K/Fru-2,6-P2ase heart-type isozyme)	Pfkfb2	Mus musculus (Mouse)	533
A0A087WRI8	A0A087WRI8	unreviewed	A0A087WRI8_MOUSE	Uncharacterized protein C19orf47 homolog	2310022A10Rik	Mus musculus (Mouse)	397
A0A087WSJ7	A0A087WSJ7	unreviewed	A0A087WSJ7_MOUSE	RIKEN cDNA 2410002F23 gene	2410002F23Rik	Mus musculus (Mouse)	167
A0A087WSK7	A0A087WSK7	unreviewed	A0A087WSK7_MOUSE	N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)	Gm28778	Mus musculus (Mouse)	529
A0A087WSP5	A0A087WSP5	unreviewed	A0A087WSP5_MOUSE	Signal transducer and activator of transcription	Stat1	Mus musculus (Mouse)	755
A0A0A0MQE5	A0A0A0MQE5	unreviewed	A0A0A0MQE5_MOUSE	Calmodulin regulated spectrin-associated protein 1	Camsap1	Mus musculus (Mouse)	1582
A0A0A0MQH5	A0A0A0MQH5	unreviewed	A0A0A0MQH5_MOUSE	Microtubule-actin crosslinking factor 1	Macf1	Mus musculus (Mouse)	369
A0A0A6YVV8	A0A0A6YVV8	unreviewed	A0A0A6YVV8_MOUSE	Muscleblind like splicing regulator 1	Mbnl1	Mus musculus (Mouse)	387
A0A0A6YWM5	A0A0A6YWM5	unreviewed	A0A0A6YWM5_MOUSE	RAB3 GTPase activating protein subunit 2	Rab3gap2	Mus musculus (Mouse)	1367
A0A0A6YWP7	A0A0A6YWP7	unreviewed	A0A0A6YWP7_MOUSE	REST corepressor 3	Rcor3	Mus musculus (Mouse)	447
A0A0A6YWX1	A0A0A6YWX1	unreviewed	A0A0A6YWX1_MOUSE	Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19)	Usp19	Mus musculus (Mouse)	1322
A0A0A6YX73	A0A0A6YX73	unreviewed	A0A0A6YX73_MOUSE	cAMP-dependent protein kinase type II-alpha regulatory subunit	Prkar2a	Mus musculus (Mouse)	380
A0A0A6YXG1	A0A0A6YXG1	unreviewed	A0A0A6YXG1_MOUSE	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Mast4	Mus musculus (Mouse)	2431
A0A0A6YXV0	A0A0A6YXV0	unreviewed	A0A0A6YXV0_MOUSE	Acylpeptide hydrolase	Apeh	Mus musculus (Mouse)	204
A0A0A6YY64	A0A0A6YY64	unreviewed	A0A0A6YY64_MOUSE	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Pfkfb3	Mus musculus (Mouse)	500
A0A0A6YY72	A0A0A6YY72	unreviewed	A0A0A6YY72_MOUSE	IMP dehydrogenase (EC 1.1.1.205)	Impdh2	Mus musculus (Mouse)	320
A0A0B4J1E2	A0A0B4J1E2	unreviewed	A0A0B4J1E2_MOUSE	SNW domain-containing protein 1	Snw1	Mus musculus (Mouse)	536
